SYMBOL|[a-z]|[0-9]|=|+|-|/|*|%|(|)|[|]|>|<|==|<=|>=|<>|not|and|or|<double>|<integer>|double|int|,|;|def|fed|if|then|else|fi|do|od|while|print|return|.|$
<bfactor'>|<bfactor'> ::= <term> <expr''> <comp> <expr>)||||||||<bfactor'> ::= (<bfactor'> <bterm'> <bexpr'>)|<bfactor'> ::= EPSILON||||||||||<bfactor'> ::= EPSILON|<bfactor'> ::= EPSILON||||||||||<bfactor'> ::= EPSILON|||<bfactor'> ::= EPSILON||||||
<comp>|||||||||||||<comp> ::= >|<comp> ::= <|<comp> ::= ==|<comp> ::= <=|<comp> ::= >=|<comp> ::= <>||||||||||||||||||||||
<var>|<var> ::= <id> <var'>|||||||||||||||||||||||||||||||||||||||
<var'>|||<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON||<var'> ::= EPSILON|<var'> ::= [<expr>]|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON|<var'> ::= EPSILON||||||||<var'> ::= EPSILON|<var'> ::= EPSILON||<var'> ::= EPSILON|||<var'> ::= EPSILON|<var'> ::= EPSILON||<var'> ::= EPSILON||||<var'> ::= EPSILON|
<letter>|<letter> ::= [a-z]|||||||||||||||||||||||||||||||||||||||
<digit>||<digit> ::= [0-9]||||||||||||||||||||||||||||||||||||||
<id>|<id> ::= <letter><id''>|||||||||||||||||||||||||||||||||||||||
<id'>|<id'> ::= <letter>|<id'> ::= <digit>||||||||||||||||||||||||||||||||||||||
<id''>|<id''> ::= <id'> <id''>|<id''> ::= <id'> <id''>|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON|<id''> ::= EPSILON||||||||<id''> ::= EPSILON|<id''> ::= EPSILON||<id''> ::= EPSILON|||<id''> ::= EPSILON|<id''> ::= EPSILON||<id''> ::= EPSILON||||<id''> ::= EPSILON|
<number>||||||||||||||||||||||<number> ::= <double>|<number> ::= <integer>|||||||||||||||||
